Hawk-Dove Simulation on 03-21 21-49-39

1000 iterations took:;118;ms
Seed used:;15033968
Average:;0.50117224
Min:;6.627245E-05
Max:;0.9985485

averages,variable
0.977,0.9922419,0.8929061
0.8445,0.8860956,0.39908314
-0.9295,0.15151447,0.90615547
0.637,0.4309722,0.052621152
-0.301,0.12820534,0.48785296
-0.925,0.068203546,0.77714014
0.914,0.96115786,0.849806
0.615,0.60279995,0.27355394
0.5495,0.41758895,0.15391546
-0.671,0.13820852,0.72791183
0.6675,0.6702547,0.28661808
-0.406,0.36298943,0.8972255
0.758,0.7935427,0.43628883
-0.2845,0.36869186,0.7282497
-0.806,0.07370579,0.741122
-0.9025,0.030235434,0.719996
-0.5365,0.22457445,0.72510153
0.719,0.6646855,0.18347934
0.2315,0.25102252,0.27888483
0.8595,0.9283242,0.8422017
0.3675,0.5512259,0.46321726
0.0585,0.21940447,0.34008613
0.8285,0.8420181,0.32984632
0.357,0.2860856,0.19677505
0.047,0.24411774,0.36877775
0.6805,0.49532393,0.09404105
0.3745,0.47622138,0.37397254
0.278,0.34530902,0.2913357
0.32,0.7123401,0.9568228
0.06,0.3167906,0.45545545
-1.2415,0.07121914,0.95446604
0.8275,0.79710704,0.17986675
0.885,0.85851425,0.22570233
0.9855,0.99022245,0.3761261
0.0145,0.15042989,0.3275677
-0.338,0.3062268,0.72738487
-0.5345,0.32247293,0.8666662
0.1775,0.23153943,0.28515851
-1.3635,0.026315887,0.96594954
0.458,0.18736681,0.07749973
0.526,0.7568489,0.6833558
0.2475,0.66059375,0.87036663
0.4705,0.6838165,0.68689734
0.604,0.66139716,0.3014473
0.4655,0.73573416,0.7934005
0.4405,0.05668006,0.04341788
0.589,0.66637343,0.3457588
0.2035,0.37086478,0.35312045
-0.4045,0.38880548,0.87006766
0.74,0.84080535,0.6562936
-0.3565,0.04397877,0.4725815
0.9945,0.9817283,0.009493973
0.446,0.31353968,0.16408125
0.9345,0.93343043,0.25303724
-0.2645,0.0050433655,0.3481197
0.225,0.37590435,0.36464494
0.8135,0.6821881,0.06982827
0.7005,0.82098824,0.51640326
0.9205,0.9667464,0.94896907
-0.97,0.049223445,0.7543973
-0.1545,0.018895768,0.32519984
-0.044,0.029998116,0.26320052
0.46,0.6614736,0.58641565
0.7005,0.6934043,0.28570715
0.968,0.98144925,0.76169914
0.854,0.8656223,0.32672364
0.5415,0.38370916,0.12651025
-0.898,0.0074510686,0.69099694
0.642,0.5619702,0.1565003
-0.317,0.21905726,0.6239667
0.805,0.7708387,0.12148901
0.197,0.58414036,0.6836976
-0.9355,0.22237258,0.9631985
-0.6105,0.18371665,0.7289953
0.496,0.72584593,0.73753667
0.8745,0.8015264,0.0790251
0.7105,0.6634149,0.17660305
0.2965,0.6681178,0.83182514
0,0.582142,0.95312655
-0.433,0.06728652,0.5559207
-0.7585,0.26497567,0.94977134
0.744,0.8819692,0.92291397
0.2505,0.68675315,0.9910204
-0.922,0.02309474,0.7246435
0.044,0.17544934,0.3572647
-0.1615,0.3440586,0.60409784
-0.606,0.36199597,0.97677994
0.9485,0.928493,0.065325186
-0.453,0.11069417,0.56243604
0.5095,0.60048485,0.38179883
-0.184,0.46088752,0.880735
-1.09,0.11023808,0.90163916
0.771,0.5276325,0.0007567634
-0.641,0.2490371,0.82230204
0.0535,0.4619557,0.62116873
-0.018,0.107031465,0.31411698
0.2605,0.578429,0.65141034
0.5955,0.7471445,0.5987538
0.98,0.9738299,0.17253835
0.589,0.6090279,0.3138063
-1.061,0.017152237,0.7954
0.992,0.99726206,0.6851599
0.0345,0.20349638,0.32355487
-0.5335,0.16150248,0.6696128
0.8195,0.6155963,0.0046019824
0.0975,0.6023813,0.86375856
0.317,0.6838394,0.83102715
0.373,0.6041107,0.5970219
0.701,0.50595915,0.031279646
-0.4205,0.24522844,0.6964438
0.2295,0.5869558,0.7571092
0.652,0.5644642,0.17229114
0.9765,0.9844863,0.2160605
-0.517,0.27568385,0.84358674
0.835,0.9348342,0.97219086
0.0655,0.38417545,0.5228778
-1.2055,0.08477174,0.96164334
0.5125,0.6827226,0.45912635
-0.596,0.33884582,0.94602233
0.6575,0.6108338,0.19146585
-0.097,0.38842574,0.6466689
0.533,0.15267508,0.013279405
0.66,0.75515544,0.4823388
-0.852,0.25191373,0.97373056
0.059,0.036707833,0.24076103
0.576,0.7202622,0.52063787
0.6585,0.62201005,0.19954562
0.6245,0.7382522,0.49176022
0.824,0.8000346,0.15149954
0.3745,0.4539326,0.34344685
0.153,0.6173789,0.87094903
-0.0375,0.58664984,0.97390026
0.505,0.44771823,0.18837306
0.848,0.9012045,0.37343803
0.1445,0.15899494,0.250298
0.1455,0.19253065,0.2897334
-0.0465,0.04047706,0.29667416
0.9665,0.95132625,0.18655841
-0.297,0.17553563,0.5167735
0.67,0.5747077,0.15399192
-0.2455,0.2657406,0.5963747
-0.0645,0.39774325,0.5982017
0.5735,0.69144565,0.44405004
0.853,0.9173879,0.6048102
0.22,0.5991183,0.6936623
0.7305,0.7433903,0.28819984
0.302,0.5879582,0.6426098
0.841,0.8503879,0.3974616
0.4545,0.43733224,0.30083895
0.9215,0.9357278,0.40279338
0.739,0.8929457,0.86380136
-0.429,0.09838147,0.56065243
0.5395,0.28599098,0.06031754
0.5135,0.79382885,0.76008785
-0.629,0.04868361,0.62904006
0.701,0.47549185,0.049719542
-0.038,0.57314116,0.9892527
-0.1855,0.14413233,0.42602447
0.784,0.8206603,0.3711202
0.955,0.9743952,0.84241
0.937,0.90285003,0.0949192
-0.1415,0.24031095,0.5396729
-0.5215,0.15666397,0.6883166
-0.5945,0.14214061,0.6908178
0.9705,0.974685,0.22135894
-0.0025,0.46346143,0.734399
0.918,0.96485615,0.8681554
0.6555,0.38195586,0.026100587
0.009,0.17642932,0.38894635
0.1165,0.2667521,0.37470502
-0.162,0.17858122,0.43314847
0.2015,0.07895391,0.1714122
0.648,0.755518,0.4717282
0.377,0.63626146,0.5859648
-0.301,0.26272666,0.6002676
